"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","the IT user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the NZ user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the GB user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the LU user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the AU user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the CA user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the FI user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the US user wants to see that the product is SC2A compatible","5","0","0","0","0"
"","","the CH user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the PL user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the DE user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the SE user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the LT user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the FR user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the PT user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the DK user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the AT user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the ES user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the NL user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the NO user wants to see that the product is SC2A compatible","0","0","5","0","0"
"","","the ZA user wants to see that the product is SC2A compatible","0","0","5","0","0"
