"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 20 09:44:58 CEST 2021","Tue Jul 20 09:45:17 CEST 2021","19164","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint IT @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint IT @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:52:46 CEST 2021","Tue Jul 20 09:53:05 CEST 2021","19400","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NZ @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint NZ @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:04:43 CEST 2021","Tue Jul 20 10:04:57 CEST 2021","13350","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint GB @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint GB @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:50:22 CEST 2021","Tue Jul 20 09:50:41 CEST 2021","18726","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint LU @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint LU @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:39:10 CEST 2021","Tue Jul 20 09:39:23 CEST 2021","13272","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint AU @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint AU @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:05:10 CEST 2021","Tue Jul 20 10:05:23 CEST 2021","13423","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint GB @SC2A | {""articlenumber"":48690113540}","SC2A Hint GB @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:40:39 CEST 2021","Tue Jul 20 09:40:52 CEST 2021","12399","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint CA @SC2A | {""articlenumber"":48690113540}","SC2A Hint CA @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:42:40 CEST 2021","Tue Jul 20 09:42:52 CEST 2021","12666","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint FI @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint FI @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"failed","Tue Jul 20 09:36:06 CEST 2021","Tue Jul 20 09:36:46 CEST 2021","40220","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint US @SC2A | {""articlenumber"":48690113540}","SC2A Hint US @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:54:21 CEST 2021","Tue Jul 20 09:54:37 CEST 2021","16072","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NZ @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint NZ @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:03:03 CEST 2021","Tue Jul 20 10:03:22 CEST 2021","18974","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint CH @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint CH @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:57:03 CEST 2021","Tue Jul 20 09:57:17 CEST 2021","14413","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint PL @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint PL @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:45:18 CEST 2021","Tue Jul 20 09:45:32 CEST 2021","14749","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint IT @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint IT @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
